,^NSEI,NESTLEIND.NS,BAJAJFINSV.NS,MARUTI.NS
200MA,16065.266977539062,18022.028955078124,13371.566474609375,7148.270749511718
150MA,16468.118645833332,18413.955963541666,14560.12697265625,7156.754996744791
50MA,17841.1449609375,19354.33890625,17824.491875,7426.41099609375
200MA_1mago,15515.286474609375,17858.188447265624,12058.697216796874,7169.94875
150MA_1mago,15849.373971354167,17981.9839453125,12935.54931640625,7030.241328125
200MA_2mago,14839.996733398437,17519.94671875,10703.254741210938,7200.862250976563
150MA_2mago,15290.7103125,17414.75,11428.010677083334,7112.253001302083
52W_Low,12771.7001953125,16096.2998046875,7365.35009765625,6455.64990234375
52W_High,18477.05078125,20457.19921875,19076.55078125,8274.75
price,17026.44921875,19222.25,16682.55078125,7170.5
Relative Strength,100.0,85.58345762165797,171.2636640664331,77.66046144001317
Above_30%_low,16603.21025390625,20925.18974609375,9574.955126953126,8392.344873046875
Within_25%_high,13857.7880859375,15342.8994140625,14307.4130859375,6206.0625
pct_rank,0.75,0.5,1.0,0.25
